I:	 1 J:	 1 P:	-0.094316 U:	 0.014141 V:	 0.014141
I:	 1 J:	 2 P:	   -0.166 U:	-0.020554 V:	 0.022939
I:	 1 J:	 3 P:	 -0.18637 U:	-0.038017 V:	  0.02795
I:	 1 J:	 4 P:	 -0.14514 U:	-0.017771 V:	 0.056228
I:	 1 J:	 5 P:	-0.054627 U:	 0.010866 V:	  0.11292
I:	 1 J:	 6 P:	 0.054627 U:	0.0056232 V:	  0.17389
I:	 1 J:	 7 P:	  0.14514 U:	-0.033645 V:	  0.20251
I:	 1 J:	 8 P:	  0.18637 U:	-0.064692 V:	  0.17738
I:	 1 J:	 9 P:	    0.166 U:	-0.057553 V:	  0.10889
I:	 1 J:	10 P:	 0.094316 U:	-0.031285 V:	 0.031285

I:	 2 J:	 1 P:	   -0.166 U:	 0.022939 V:	-0.020554
I:	 2 J:	 2 P:	 -0.22275 U:	-0.091224 V:	-0.091224
I:	 2 J:	 3 P:	 -0.22606 U:	 -0.11953 V:	 -0.14036
I:	 2 J:	 4 P:	 -0.16812 U:	-0.020483 V:	 -0.10221
I:	 2 J:	 5 P:	-0.062096 U:	 0.092396 V:	 0.032219
I:	 2 J:	 6 P:	 0.062096 U:	 0.077181 V:	  0.20138
I:	 2 J:	 7 P:	  0.16812 U:	-0.066549 V:	  0.31295
I:	 2 J:	 8 P:	  0.22606 U:	 -0.19694 V:	  0.30761
I:	 2 J:	 9 P:	  0.22275 U:	  -0.1986 V:	   0.1986
I:	 2 J:	10 P:	    0.166 U:	 -0.10889 V:	 0.057553

I:	 3 J:	 1 P:	 -0.18637 U:	  0.02795 V:	-0.038017
I:	 3 J:	 2 P:	 -0.22606 U:	 -0.14036 V:	 -0.11953
I:	 3 J:	 3 P:	 -0.21851 U:	 -0.16032 V:	 -0.16032
I:	 3 J:	 4 P:	 -0.15853 U:	0.0070998 V:	 -0.11721
I:	 3 J:	 5 P:	-0.057932 U:	  0.18311 V:	0.0074729
I:	 3 J:	 6 P:	 0.057932 U:	  0.15941 V:	  0.16095
I:	 3 J:	 7 P:	  0.15853 U:	 -0.06465 V:	  0.26914
I:	 3 J:	 8 P:	  0.21851 U:	 -0.28089 V:	  0.28089
I:	 3 J:	 9 P:	  0.22606 U:	 -0.30761 V:	  0.19694
I:	 3 J:	10 P:	  0.18637 U:	 -0.17738 V:	 0.064692

I:	 4 J:	 1 P:	 -0.14514 U:	 0.056228 V:	-0.017771
I:	 4 J:	 2 P:	 -0.16812 U:	 -0.10221 V:	-0.020483
I:	 4 J:	 3 P:	 -0.15853 U:	 -0.11721 V:	0.0070998
I:	 4 J:	 4 P:	  -0.1135 U:	 0.036628 V:	 0.036628
I:	 4 J:	 5 P:	 -0.04123 U:	  0.19255 V:	 0.049786
I:	 4 J:	 6 P:	  0.04123 U:	  0.16269 V:	 0.050434
I:	 4 J:	 7 P:	   0.1135 U:	-0.053782 V:	 0.053782
I:	 4 J:	 8 P:	  0.15853 U:	 -0.26914 V:	  0.06465
I:	 4 J:	 9 P:	  0.16812 U:	 -0.31295 V:	 0.066549
I:	 4 J:	10 P:	  0.14514 U:	 -0.20251 V:	 0.033645

I:	 5 J:	 1 P:	-0.054627 U:	  0.11292 V:	 0.010866
I:	 5 J:	 2 P:	-0.062096 U:	 0.032219 V:	 0.092396
I:	 5 J:	 3 P:	-0.057932 U:	0.0074729 V:	  0.18311
I:	 5 J:	 4 P:	 -0.04123 U:	 0.049786 V:	  0.19255
I:	 5 J:	 5 P:	-0.014938 U:	 0.092238 V:	 0.092238
I:	 5 J:	 6 P:	 0.014938 U:	 0.059137 V:	-0.059137
I:	 5 J:	 7 P:	  0.04123 U:	-0.050434 V:	 -0.16269
I:	 5 J:	 8 P:	 0.057932 U:	 -0.16095 V:	 -0.15941
I:	 5 J:	 9 P:	 0.062096 U:	 -0.20138 V:	-0.077181
I:	 5 J:	10 P:	 0.054627 U:	 -0.17389 V:	-0.0056232

I:	 6 J:	 1 P:	 0.054627 U:	  0.17389 V:	0.0056232
I:	 6 J:	 2 P:	 0.062096 U:	  0.20138 V:	 0.077181
I:	 6 J:	 3 P:	 0.057932 U:	  0.16095 V:	  0.15941
I:	 6 J:	 4 P:	  0.04123 U:	 0.050434 V:	  0.16269
I:	 6 J:	 5 P:	 0.014938 U:	-0.059137 V:	 0.059137
I:	 6 J:	 6 P:	-0.014938 U:	-0.092238 V:	-0.092238
I:	 6 J:	 7 P:	 -0.04123 U:	-0.049786 V:	 -0.19255
I:	 6 J:	 8 P:	-0.057932 U:	-0.0074729 V:	 -0.18311
I:	 6 J:	 9 P:	-0.062096 U:	-0.032219 V:	-0.092396
I:	 6 J:	10 P:	-0.054627 U:	 -0.11292 V:	-0.010866

I:	 7 J:	 1 P:	  0.14514 U:	  0.20251 V:	-0.033645
I:	 7 J:	 2 P:	  0.16812 U:	  0.31295 V:	-0.066549
I:	 7 J:	 3 P:	  0.15853 U:	  0.26914 V:	 -0.06465
I:	 7 J:	 4 P:	   0.1135 U:	 0.053782 V:	-0.053782
I:	 7 J:	 5 P:	  0.04123 U:	 -0.16269 V:	-0.050434
I:	 7 J:	 6 P:	 -0.04123 U:	 -0.19255 V:	-0.049786
I:	 7 J:	 7 P:	  -0.1135 U:	-0.036628 V:	-0.036628
I:	 7 J:	 8 P:	 -0.15853 U:	  0.11721 V:	-0.0070998
I:	 7 J:	 9 P:	 -0.16812 U:	  0.10221 V:	 0.020483
I:	 7 J:	10 P:	 -0.14514 U:	-0.056228 V:	 0.017771

I:	 8 J:	 1 P:	  0.18637 U:	  0.17738 V:	-0.064692
I:	 8 J:	 2 P:	  0.22606 U:	  0.30761 V:	 -0.19694
I:	 8 J:	 3 P:	  0.21851 U:	  0.28089 V:	 -0.28089
I:	 8 J:	 4 P:	  0.15853 U:	  0.06465 V:	 -0.26914
I:	 8 J:	 5 P:	 0.057932 U:	 -0.15941 V:	 -0.16095
I:	 8 J:	 6 P:	-0.057932 U:	 -0.18311 V:	-0.0074729
I:	 8 J:	 7 P:	 -0.15853 U:	-0.0070998 V:	  0.11721
I:	 8 J:	 8 P:	 -0.21851 U:	  0.16032 V:	  0.16032
I:	 8 J:	 9 P:	 -0.22606 U:	  0.14036 V:	  0.11953
I:	 8 J:	10 P:	 -0.18637 U:	 -0.02795 V:	 0.038017

I:	 9 J:	 1 P:	    0.166 U:	  0.10889 V:	-0.057553
I:	 9 J:	 2 P:	  0.22275 U:	   0.1986 V:	  -0.1986
I:	 9 J:	 3 P:	  0.22606 U:	  0.19694 V:	 -0.30761
I:	 9 J:	 4 P:	  0.16812 U:	 0.066549 V:	 -0.31295
I:	 9 J:	 5 P:	 0.062096 U:	-0.077181 V:	 -0.20138
I:	 9 J:	 6 P:	-0.062096 U:	-0.092396 V:	-0.032219
I:	 9 J:	 7 P:	 -0.16812 U:	 0.020483 V:	  0.10221
I:	 9 J:	 8 P:	 -0.22606 U:	  0.11953 V:	  0.14036
I:	 9 J:	 9 P:	 -0.22275 U:	 0.091224 V:	 0.091224
I:	 9 J:	10 P:	   -0.166 U:	-0.022939 V:	 0.020554

I:	10 J:	 1 P:	 0.094316 U:	 0.031285 V:	-0.031285
I:	10 J:	 2 P:	    0.166 U:	 0.057553 V:	 -0.10889
I:	10 J:	 3 P:	  0.18637 U:	 0.064692 V:	 -0.17738
I:	10 J:	 4 P:	  0.14514 U:	 0.033645 V:	 -0.20251
I:	10 J:	 5 P:	 0.054627 U:	-0.0056232 V:	 -0.17389
I:	10 J:	 6 P:	-0.054627 U:	-0.010866 V:	 -0.11292
I:	10 J:	 7 P:	 -0.14514 U:	 0.017771 V:	-0.056228
I:	10 J:	 8 P:	 -0.18637 U:	 0.038017 V:	 -0.02795
I:	10 J:	 9 P:	   -0.166 U:	 0.020554 V:	-0.022939
I:	10 J:	10 P:	-0.094316 U:	-0.014141 V:	-0.014141

