I:	 1 J:	 1 P:	  0.96948 U:	 0.049305 V:	 0.049143
I:	 1 J:	 2 P:	  0.87226 U:	  0.12637 V:	  0.14176
I:	 1 J:	 3 P:	  0.69017 U:	  0.15566 V:	  0.21986
I:	 1 J:	 4 P:	  0.44121 U:	  0.12614 V:	  0.27673
I:	 1 J:	 5 P:	  0.14999 U:	 0.048931 V:	  0.30732
I:	 1 J:	 6 P:	 -0.15448 U:	-0.047386 V:	  0.30926
I:	 1 J:	 7 P:	 -0.44135 U:	 -0.12802 V:	  0.28306
I:	 1 J:	 8 P:	 -0.68484 U:	 -0.16173 V:	  0.22903
I:	 1 J:	 9 P:	 -0.86538 U:	 -0.13227 V:	  0.14942
I:	 1 J:	10 P:	  -0.9653 U:	-0.051296 V:	 0.051771

I:	 2 J:	 1 P:	  0.87224 U:	  0.14196 V:	  0.12619
I:	 2 J:	 2 P:	  0.78475 U:	  0.36584 V:	  0.36559
I:	 2 J:	 3 P:	  0.62063 U:	  0.45115 V:	  0.56878
I:	 2 J:	 4 P:	  0.39611 U:	   0.3657 V:	  0.71673
I:	 2 J:	 5 P:	  0.13335 U:	  0.14232 V:	  0.79576
I:	 2 J:	 6 P:	 -0.14124 U:	 -0.13521 V:	  0.80003
I:	 2 J:	 7 P:	 -0.39991 U:	 -0.36648 V:	  0.73015
I:	 2 J:	 8 P:	 -0.61869 U:	 -0.46428 V:	  0.58823
I:	 2 J:	 9 P:	 -0.77792 U:	 -0.38326 V:	  0.38298
I:	 2 J:	10 P:	 -0.86482 U:	 -0.14952 V:	  0.13261

I:	 3 J:	 1 P:	  0.69021 U:	   0.2199 V:	  0.15555
I:	 3 J:	 2 P:	  0.62071 U:	  0.56887 V:	  0.45097
I:	 3 J:	 3 P:	  0.49064 U:	  0.70211 V:	  0.70206
I:	 3 J:	 4 P:	  0.31288 U:	  0.56944 V:	  0.88506
I:	 3 J:	 5 P:	  0.10523 U:	  0.22198 V:	   0.9828
I:	 3 J:	 6 P:	 -0.11093 U:	 -0.21034 V:	  0.98749
I:	 3 J:	 7 P:	 -0.31596 U:	 -0.56901 V:	  0.89648
I:	 3 J:	 8 P:	 -0.49164 U:	  -0.7158 V:	  0.71583
I:	 3 J:	 9 P:	 -0.61861 U:	 -0.58884 V:	  0.46375
I:	 3 J:	10 P:	 -0.68521 U:	  -0.2298 V:	  0.16114

I:	 4 J:	 1 P:	  0.44129 U:	  0.27664 V:	  0.12611
I:	 4 J:	 2 P:	  0.39622 U:	  0.71648 V:	  0.36563
I:	 4 J:	 3 P:	  0.31295 U:	   0.8848 V:	  0.56946
I:	 4 J:	 4 P:	   0.1997 U:	  0.71849 V:	  0.71847
I:	 4 J:	 5 P:	 0.068655 U:	  0.28074 V:	  0.79864
I:	 4 J:	 6 P:	-0.067457 U:	 -0.26764 V:	  0.80059
I:	 4 J:	 7 P:	 -0.19988 U:	 -0.72001 V:	  0.72063
I:	 4 J:	 8 P:	 -0.31578 U:	 -0.89687 V:	  0.56971
I:	 4 J:	 9 P:	 -0.39982 U:	 -0.73033 V:	  0.36592
I:	 4 J:	10 P:	 -0.44214 U:	 -0.28348 V:	  0.12709

I:	 5 J:	 1 P:	  0.15001 U:	  0.30714 V:	 0.049026
I:	 5 J:	 2 P:	  0.13342 U:	  0.79515 V:	   0.1425
I:	 5 J:	 3 P:	   0.1053 U:	  0.98259 V:	  0.22203
I:	 5 J:	 4 P:	  0.06862 U:	  0.79929 V:	   0.2802
I:	 5 J:	 5 P:	 0.027604 U:	  0.31055 V:	  0.30968
I:	 5 J:	 6 P:	-0.018062 U:	 -0.30396 V:	  0.30431
I:	 5 J:	 7 P:	-0.067366 U:	 -0.80137 V:	  0.26874
I:	 5 J:	 8 P:	 -0.11086 U:	 -0.98791 V:	  0.21066
I:	 5 J:	 9 P:	 -0.14122 U:	 -0.79951 V:	  0.13478
I:	 5 J:	10 P:	 -0.15479 U:	 -0.30922 V:	  0.04696

I:	 6 J:	 1 P:	 -0.15479 U:	  0.30922 V:	 -0.04696
I:	 6 J:	 2 P:	 -0.14122 U:	  0.79951 V:	 -0.13478
I:	 6 J:	 3 P:	 -0.11086 U:	  0.98791 V:	 -0.21066
I:	 6 J:	 4 P:	-0.067366 U:	  0.80137 V:	 -0.26874
I:	 6 J:	 5 P:	-0.018062 U:	  0.30396 V:	 -0.30431
I:	 6 J:	 6 P:	 0.027604 U:	 -0.31055 V:	 -0.30968
I:	 6 J:	 7 P:	  0.06862 U:	 -0.79929 V:	  -0.2802
I:	 6 J:	 8 P:	   0.1053 U:	 -0.98259 V:	 -0.22203
I:	 6 J:	 9 P:	  0.13342 U:	 -0.79515 V:	  -0.1425
I:	 6 J:	10 P:	  0.15001 U:	 -0.30714 V:	-0.049026

I:	 7 J:	 1 P:	 -0.44214 U:	  0.28348 V:	 -0.12709
I:	 7 J:	 2 P:	 -0.39982 U:	  0.73033 V:	 -0.36592
I:	 7 J:	 3 P:	 -0.31578 U:	  0.89687 V:	 -0.56971
I:	 7 J:	 4 P:	 -0.19988 U:	  0.72001 V:	 -0.72063
I:	 7 J:	 5 P:	-0.067457 U:	  0.26764 V:	 -0.80059
I:	 7 J:	 6 P:	 0.068655 U:	 -0.28074 V:	 -0.79864
I:	 7 J:	 7 P:	   0.1997 U:	 -0.71849 V:	 -0.71847
I:	 7 J:	 8 P:	  0.31295 U:	  -0.8848 V:	 -0.56946
I:	 7 J:	 9 P:	  0.39622 U:	 -0.71648 V:	 -0.36563
I:	 7 J:	10 P:	  0.44129 U:	 -0.27664 V:	 -0.12611

I:	 8 J:	 1 P:	 -0.68521 U:	   0.2298 V:	 -0.16114
I:	 8 J:	 2 P:	 -0.61861 U:	  0.58884 V:	 -0.46375
I:	 8 J:	 3 P:	 -0.49164 U:	   0.7158 V:	 -0.71583
I:	 8 J:	 4 P:	 -0.31596 U:	  0.56901 V:	 -0.89648
I:	 8 J:	 5 P:	 -0.11093 U:	  0.21034 V:	 -0.98749
I:	 8 J:	 6 P:	  0.10523 U:	 -0.22198 V:	  -0.9828
I:	 8 J:	 7 P:	  0.31288 U:	 -0.56944 V:	 -0.88506
I:	 8 J:	 8 P:	  0.49064 U:	 -0.70211 V:	 -0.70206
I:	 8 J:	 9 P:	  0.62071 U:	 -0.56887 V:	 -0.45097
I:	 8 J:	10 P:	  0.69021 U:	  -0.2199 V:	 -0.15555

I:	 9 J:	 1 P:	 -0.86482 U:	  0.14952 V:	 -0.13261
I:	 9 J:	 2 P:	 -0.77792 U:	  0.38326 V:	 -0.38298
I:	 9 J:	 3 P:	 -0.61869 U:	  0.46428 V:	 -0.58823
I:	 9 J:	 4 P:	 -0.39991 U:	  0.36648 V:	 -0.73015
I:	 9 J:	 5 P:	 -0.14124 U:	  0.13521 V:	 -0.80003
I:	 9 J:	 6 P:	  0.13335 U:	 -0.14232 V:	 -0.79576
I:	 9 J:	 7 P:	  0.39611 U:	  -0.3657 V:	 -0.71673
I:	 9 J:	 8 P:	  0.62063 U:	 -0.45115 V:	 -0.56878
I:	 9 J:	 9 P:	  0.78475 U:	 -0.36584 V:	 -0.36559
I:	 9 J:	10 P:	  0.87224 U:	 -0.14196 V:	 -0.12619

I:	10 J:	 1 P:	  -0.9653 U:	 0.051296 V:	-0.051771
I:	10 J:	 2 P:	 -0.86538 U:	  0.13227 V:	 -0.14942
I:	10 J:	 3 P:	 -0.68484 U:	  0.16173 V:	 -0.22903
