I:	 1 J:	 1 P:	 -0.12097 U:	 0.019288 V:	 0.016042
I:	 1 J:	 2 P:	 -0.15548 U:	-0.0037621 V:	 0.029478
I:	 1 J:	 3 P:	 -0.16458 U:	-0.015401 V:	 0.027096
I:	 1 J:	 4 P:	 -0.14388 U:	-0.0083998 V:	 0.027958
I:	 1 J:	 5 P:	-0.090459 U:	 0.011806 V:	 0.042113
I:	 1 J:	 6 P:	0.00062752 U:	 0.019104 V:	 0.080965
I:	 1 J:	 7 P:	  0.14094 U:	-0.029257 V:	  0.15452
I:	 1 J:	 8 P:	  0.27116 U:	 -0.10593 V:	  0.21038
I:	 1 J:	 9 P:	  0.29318 U:	 -0.11433 V:	  0.18249
I:	 1 J:	10 P:	  0.20463 U:	-0.059112 V:	 0.068592

I:	 2 J:	 1 P:	 -0.15591 U:	 0.033285 V:	-0.0073206
I:	 2 J:	 2 P:	 -0.18291 U:	-0.028936 V:	-0.033975
I:	 2 J:	 3 P:	 -0.18823 U:	-0.056787 V:	-0.065547
I:	 2 J:	 4 P:	 -0.16796 U:	-0.031696 V:	 -0.08228
I:	 2 J:	 5 P:	 -0.12069 U:	 0.040587 V:	-0.065991
I:	 2 J:	 6 P:	-0.037075 U:	  0.10171 V:	 0.019409
I:	 2 J:	 7 P:	 0.091979 U:	 0.016065 V:	  0.18629
I:	 2 J:	 8 P:	  0.22689 U:	 -0.20576 V:	  0.32337
I:	 2 J:	 9 P:	   0.3194 U:	 -0.31956 V:	  0.31386
I:	 2 J:	10 P:	  0.30441 U:	 -0.18452 V:	  0.12103

I:	 3 J:	 1 P:	 -0.16377 U:	 0.027784 V:	 -0.01777
I:	 3 J:	 2 P:	 -0.18645 U:	 -0.06383 V:	-0.060478
I:	 3 J:	 3 P:	 -0.18715 U:	-0.099836 V:	 -0.10086
I:	 3 J:	 4 P:	 -0.16272 U:	-0.052386 V:	 -0.11891
I:	 3 J:	 5 P:	 -0.10768 U:	 0.069409 V:	-0.097793
I:	 3 J:	 6 P:	-0.0063513 U:	  0.16344 V:	-0.0038668
I:	 3 J:	 7 P:	  0.10124 U:	 0.061023 V:	  0.10945
I:	 3 J:	 8 P:	   0.1671 U:	 -0.17396 V:	  0.17451
I:	 3 J:	 9 P:	   0.2286 U:	 -0.33565 V:	  0.19529
I:	 3 J:	10 P:	  0.26387 U:	 -0.22579 V:	 0.094134

I:	 4 J:	 1 P:	 -0.14228 U:	 0.025981 V:	-0.0089573
I:	 4 J:	 2 P:	 -0.16572 U:	 -0.08717 V:	-0.033115
I:	 4 J:	 3 P:	 -0.16136 U:	 -0.12419 V:	-0.052023
I:	 4 J:	 4 P:	 -0.12821 U:	-0.047064 V:	-0.047294
I:	 4 J:	 5 P:	-0.047294 U:	  0.10811 V:	-0.0083954
I:	 4 J:	 6 P:	  0.07126 U:	  0.15391 V:	  0.03059
I:	 4 J:	 7 P:	  0.12464 U:	 0.016635 V:	-0.0041582
I:	 4 J:	 8 P:	  0.10476 U:	 -0.11731 V:	-0.046938
I:	 4 J:	 9 P:	 0.093823 U:	 -0.18984 V:	-0.027418
I:	 4 J:	10 P:	  0.12527 U:	 -0.16285 V:	 0.010619

I:	 5 J:	 1 P:	-0.089965 U:	 0.038568 V:	 0.013709
I:	 5 J:	 2 P:	 -0.11925 U:	-0.078055 V:	 0.044114
I:	 5 J:	 3 P:	 -0.10623 U:	 -0.10196 V:	 0.070454
I:	 5 J:	 4 P:	-0.047993 U:	0.0046343 V:	 0.097314
I:	 5 J:	 5 P:	 0.062648 U:	  0.10668 V:	 0.089258
I:	 5 J:	 6 P:	  0.12819 U:	 0.025096 V:	 -0.01808
I:	 5 J:	 7 P:	 0.073081 U:	-0.046172 V:	 -0.13185
I:	 5 J:	 8 P:	-0.004963 U:	-0.0044024 V:	 -0.15687
I:	 5 J:	 9 P:	-0.036627 U:	-0.0091106 V:	 -0.11029
I:	 5 J:	10 P:	-0.0055487 U:	-0.080239 V:	-0.027614

