I:	 0 J:	 0 P:	  0.97553 U:	 0.048341 V:	 0.048341
I:	 0 J:	 1 P:	  0.97553 U:	-0.048341 V:	-0.048341
I:	 0 J:	 2 P:	  0.88004 U:	 -0.12656 V:	 -0.14029
I:	 0 J:	 3 P:	   0.6984 U:	 -0.15643 V:	 -0.21851
I:	 0 J:	 4 P:	   0.4484 U:	 -0.12656 V:	 -0.27534
I:	 0 J:	 5 P:	  0.15451 U:	-0.048341 V:	 -0.30521
I:	 0 J:	 6 P:	 -0.15451 U:	 0.048341 V:	 -0.30521
I:	 0 J:	 7 P:	  -0.4484 U:	  0.12656 V:	 -0.27534
I:	 0 J:	 8 P:	  -0.6984 U:	  0.15643 V:	 -0.21851
I:	 0 J:	 9 P:	 -0.88004 U:	  0.12656 V:	 -0.14029
I:	 0 J:	10 P:	 -0.97553 U:	 0.048341 V:	-0.048341
I:	 0 J:	11 P:	 -0.97553 U:	-0.048341 V:	 0.048341

I:	 1 J:	 0 P:	  0.97553 U:	-0.048341 V:	-0.048341
I:	 1 J:	 1 P:	  0.97553 U:	 0.048341 V:	 0.048341
I:	 1 J:	 2 P:	  0.88004 U:	  0.12656 V:	  0.14029
I:	 1 J:	 3 P:	   0.6984 U:	  0.15643 V:	  0.21851
I:	 1 J:	 4 P:	   0.4484 U:	  0.12656 V:	  0.27534
I:	 1 J:	 5 P:	  0.15451 U:	 0.048341 V:	  0.30521
I:	 1 J:	 6 P:	 -0.15451 U:	-0.048341 V:	  0.30521
I:	 1 J:	 7 P:	  -0.4484 U:	 -0.12656 V:	  0.27534
I:	 1 J:	 8 P:	  -0.6984 U:	 -0.15643 V:	  0.21851
I:	 1 J:	 9 P:	 -0.88004 U:	 -0.12656 V:	  0.14029
I:	 1 J:	10 P:	 -0.97553 U:	-0.048341 V:	 0.048341
I:	 1 J:	11 P:	 -0.97553 U:	 0.048341 V:	-0.048341

I:	 2 J:	 0 P:	  0.88004 U:	 -0.14029 V:	 -0.12656
I:	 2 J:	 1 P:	  0.88004 U:	  0.14029 V:	  0.12656
I:	 2 J:	 2 P:	  0.79389 U:	  0.36729 V:	  0.36729
I:	 2 J:	 3 P:	  0.63004 U:	  0.45399 V:	  0.57206
I:	 2 J:	 4 P:	  0.40451 U:	  0.36729 V:	  0.72084
I:	 2 J:	 5 P:	  0.13938 U:	  0.14029 V:	  0.79906
I:	 2 J:	 6 P:	 -0.13938 U:	 -0.14029 V:	  0.79906
I:	 2 J:	 7 P:	 -0.40451 U:	 -0.36729 V:	  0.72084
I:	 2 J:	 8 P:	 -0.63004 U:	 -0.45399 V:	  0.57206
I:	 2 J:	 9 P:	 -0.79389 U:	 -0.36729 V:	  0.36729
I:	 2 J:	10 P:	 -0.88004 U:	 -0.14029 V:	  0.12656
I:	 2 J:	11 P:	 -0.88004 U:	  0.14029 V:	 -0.12656

I:	 3 J:	 0 P:	   0.6984 U:	 -0.21851 V:	 -0.15643
I:	 3 J:	 1 P:	   0.6984 U:	  0.21851 V:	  0.15643
I:	 3 J:	 2 P:	  0.63004 U:	  0.57206 V:	  0.45399
I:	 3 J:	 3 P:	      0.5 U:	  0.70711 V:	  0.70711
I:	 3 J:	 4 P:	  0.32102 U:	  0.57206 V:	  0.89101
I:	 3 J:	 5 P:	  0.11062 U:	  0.21851 V:	  0.98769
I:	 3 J:	 6 P:	 -0.11062 U:	 -0.21851 V:	  0.98769
I:	 3 J:	 7 P:	 -0.32102 U:	 -0.57206 V:	  0.89101
I:	 3 J:	 8 P:	     -0.5 U:	 -0.70711 V:	  0.70711
I:	 3 J:	 9 P:	 -0.63004 U:	 -0.57206 V:	  0.45399
I:	 3 J:	10 P:	  -0.6984 U:	 -0.21851 V:	  0.15643
