I:	 1 J:	 1 P:	 -0.10959 U:	  0.02373 V:	 0.010493
I:	 1 J:	 2 P:	 -0.15272 U:	-0.0045521 V:	 0.022294
I:	 1 J:	 3 P:	 -0.16496 U:	-0.016996 V:	 0.031557
I:	 1 J:	 4 P:	 -0.14012 U:	-0.0077591 V:	 0.049196
I:	 1 J:	 5 P:	-0.077207 U:	 0.013031 V:	 0.085617
I:	 1 J:	 6 P:	 0.028729 U:	 0.013643 V:	  0.15248
I:	 1 J:	 7 P:	   0.1733 U:	 -0.04321 V:	  0.23391
I:	 1 J:	 8 P:	  0.27815 U:	 -0.11186 V:	  0.24281
I:	 1 J:	 9 P:	  0.25773 U:	 -0.10331 V:	  0.14676
I:	 1 J:	10 P:	  0.14186 U:	-0.052683 V:	  0.03578

I:	 2 J:	 1 P:	 -0.16624 U:	 0.037372 V:	-0.018569
I:	 2 J:	 2 P:	 -0.19747 U:	-0.048585 V:	-0.060082
I:	 2 J:	 3 P:	  -0.2003 U:	-0.068627 V:	-0.086961
I:	 2 J:	 4 P:	 -0.16807 U:	-0.012298 V:	-0.075604
I:	 2 J:	 5 P:	-0.095266 U:	  0.07729 V:	 0.001003
I:	 2 J:	 6 P:	 0.025995 U:	 0.089948 V:	  0.16527
I:	 2 J:	 7 P:	  0.16797 U:	 -0.06943 V:	  0.34034
I:	 2 J:	 8 P:	  0.25878 U:	 -0.25529 V:	  0.37247
I:	 2 J:	 9 P:	  0.26882 U:	 -0.26361 V:	  0.24645
I:	 2 J:	10 P:	  0.19569 U:	 -0.13751 V:	 0.066057

I:	 3 J:	 1 P:	 -0.18333 U:	 0.024661 V:	-0.035023
I:	 3 J:	 2 P:	 -0.20722 U:	 -0.10568 V:	 -0.10133
I:	 3 J:	 3 P:	 -0.20176 U:	 -0.12001 V:	 -0.13701
I:	 3 J:	 4 P:	 -0.16195 U:	-0.0079725 V:	 -0.11498
I:	 3 J:	 5 P:	-0.078924 U:	  0.14571 V:	-0.010766
I:	 3 J:	 6 P:	  0.04546 U:	  0.15805 V:	  0.14719
I:	 3 J:	 7 P:	  0.14583 U:	-0.042593 V:	  0.21909
I:	 3 J:	 8 P:	  0.18856 U:	 -0.24275 V:	  0.20246
I:	 3 J:	 9 P:	  0.20851 U:	 -0.28757 V:	   0.1624
I:	 3 J:	10 P:	  0.19152 U:	 -0.17144 V:	  0.06314

I:	 4 J:	 1 P:	  -0.1528 U:	  0.02522 V:	  -0.0197
I:	 4 J:	 2 P:	 -0.17649 U:	 -0.12393 V:	-0.052946
I:	 4 J:	 3 P:	  -0.1649 U:	 -0.13561 V:	-0.055934
