Iter,dP,du,dv
1,0.29718,0.156392,0.146462
2,0.251803,0.0968813,0.0732278
3,0.179763,0.119866,0.0897957
4,0.121676,0.130009,0.103208
5,0.0880611,0.126312,0.102283
6,0.0748031,0.11553,0.0928536
7,0.0760854,0.0987361,0.0778148
8,0.08477,0.0752521,0.0579817
9,0.0900733,0.0477587,0.0382823
10,0.0849077,0.0274901,0.0275356
11,0.069759,0.0290076,0.0292644
12,0.0495483,0.0366215,0.0340246
13,0.0292343,0.038973,0.0359545
14,0.0148066,0.035847,0.0339202
15,0.0162864,0.0290317,0.0284357
16,0.0235754,0.0207474,0.02083
17,0.0273223,0.013644,0.0128598
18,0.0267632,0.0107413,0.00674029
19,0.0229664,0.0119563,0.0058943
20,0.0174174,0.0137007,0.00821907
21,0.0116674,0.0142368,0.00971447
22,0.00756193,0.0133534,0.00977629
23,0.0070034,0.0113589,0.00866007
24,0.00851256,0.00878644,0.00683002
25,0.00959119,0.00633817,0.00483664
26,0.00951079,0.00485606,0.00335475
27,0.00834722,0.00472454,0.00304989
28,0.00647075,0.00515554,0.00356995
29,0.00439689,0.00531966,0.0040658
30,0.00284734,0.00494731,0.00420209
31,0.00267771,0.00408746,0.00395918
32,0.0033731,0.00293435,0.00344076
33,0.00391788,0.00179002,0.00279471
34,0.00400728,0.00124349,0.00216811
35,0.00365265,0.00167847,0.00167034
36,0.00297752,0.00229625,0.00133525
37,0.0021507,0.00269946,0.00111039
38,0.00137441,0.00282349,0.000917324
39,0.000945544,0.00269447,0.000727254
40,0.00106435,0.00237231,0.000587657
41,0.00135959,0.00192843,0.000585977
42,0.00156053,0.00143396,0.000709491
43,0.00161536,0.000956729,0.000857393
44,0.00154159,0.000577982,0.000962982
45,0.00137812,0.00044311,0.00100072
46,0.00116801,0.000571306,0.000968871
47,0.000950628,0.000747014,0.000879938
48,0.000758851,0.000877458,0.000754907
49,0.000618961,0.000945535,0.000619214
50,0.000547276,0.00095347,0.000499401
51,0.00053958,0.000910176,0.000417659
52,0.000570457,0.000828366,0.000380611
53,0.000610987,0.000724089,0.000372983
54,0.000640503,0.000616883,0.000372115
55,0.000646927,0.000528917,0.000364123
56,0.000624788,0.000479152,0.000345986
57,0.000574062,0.000470728,0.000321701
58,0.000499607,0.000486576,0.000298354
59,0.000410918,0.000503458,0.000282486
60,0.000322551,0.000504815,0.000276776
61,0.000255226,0.000483004,0.000278886
62,0.00023041,0.000437383,0.000283562
63,0.000246823,0.000372394,0.000285673
64,0.000278225,0.000296559,0.000281819
65,0.000302429,0.000223031,0.000270532
66,0.000309267,0.000172184,0.000251925
67,0.000296229,0.000165216,0.000227292
68,0.000265212,0.000193749,0.000198837
69,0.000220902,0.000229944,0.000169537
70,0.000170169,0.000257149,0.000143091
71,0.00012281,0.000269182,0.000123572
72,9.40767e-05,0.000265086,0.000113977
73,9.68921e-05,0.000246804,0.000113851
74,0.000118745,0.00021819,0.00011921
75,0.000140864,0.000184537,0.00012548
76,0.000154875,0.000152391,0.000129561
77,0.000158349,0.000129007,0.000130033
78,0.000151557,0.000119549,0.00012674
79,0.000136268,0.000122362,0.000120382
80,0.000115248,0.000130188,0.000112183
81,9.20917e-05,0.000136362,0.000103583
82,7.13871e-05,0.000137298,9.5894e-05
83,5.86909e-05,0.000131939,8.9925e-05
84,5.72822e-05,0.000120896,8.57367e-05
85,6.33002e-05,0.000105912,8.27116e-05
86,7.02309e-05,8.95779e-05,7.99301e-05
87,7.41993e-05,7.51557e-05,7.65912e-05
88,7.37763e-05,6.60036e-05,7.22645e-05
89,6.89135e-05,6.37369e-05,6.69549e-05
90,6.03666e-05,6.65513e-05,6.10526e-05
91,4.94355e-05,7.08731e-05,5.52219e-05
92,3.79328e-05,7.39107e-05,5.02294e-05
93,2.84592e-05,7.42858e-05,4.66915e-05
94,2.44139e-05,7.17083e-05,4.47945e-05
95,2.67061e-05,6.6619e-05,4.41899e-05
96,3.17135e-05,5.99482e-05,4.41983e-05
97,3.61597e-05,5.29373e-05,4.41431e-05
98,3.8633e-05,4.69271e-05,4.35675e-05
99,3.87527e-05,4.29776e-05,4.2288e-05
100,3.66677e-05,4.13482e-05,4.03576e-05
101,3.28458e-05,4.13315e-05,3.79959e-05
102,2.7976e-05,4.17665e-05,3.55074e-05
103,2.29294e-05,4.16724e-05,3.31925e-05
104,1.87358e-05,4.05101e-05,3.12597e-05
105,1.63771e-05,3.81642e-05,2.97643e-05
106,1.60943e-05,3.48491e-05,2.86067e-05
107,1.70143e-05,3.10181e-05,2.75944e-05
108,1.7998e-05,2.72786e-05,2.65296e-05
109,1.83343e-05,2.4275e-05,2.52776e-05
110,1.77491e-05,2.24724e-05,2.37978e-05
111,1.62549e-05,2.18966e-05,2.21414e-05
112,1.40493e-05,2.21118e-05,2.04309e-05
113,1.1468e-05,2.25197e-05,1.88245e-05
114,8.98831e-06,2.2654e-05,1.74707e-05
115,7.25826e-06,2.22759e-05,1.64594e-05
116,6.85721e-06,2.13503e-05,1.57882e-05
117,7.58816e-06,1.99912e-05,1.53677e-05
118,8.66909e-06,1.84079e-05,1.50649e-05
119,9.53139e-06,1.68496e-05,1.47552e-05
120,9.92748e-06,1.55412e-05,1.43567e-05
121,9.80055e-06,1.46107e-05,1.38398e-05
122,9.20357e-06,1.40434e-05,1.32199e-05
123,8.25916e-06,1.37017e-05,1.25424e-05
124,7.1376e-06,1.34032e-05,1.18638e-05
125,6.04127e-06,1.2998e-05,1.12323e-05
126,5.17903e-06,1.24076e-05,1.06746e-05
127,4.69735e-06,1.16291e-05,1.01891e-05
128,4.57958e-06,1.07224e-05,9.75188e-06
129,4.65051e-06,9.78938e-06,9.32861e-06
130,4.71161e-06,8.94751e-06,8.88897e-06
131,4.63531e-06,8.29505e-06,8.41657e-06
132,4.37353e-06,7.87432e-06,7.91304e-06
133,3.93817e-06,7.65393e-06,7.3964e-06
134,3.38437e-06,7.54828e-06,6.89541e-06
135,2.80229e-06,7.46033e-06,6.44113e-06
136,2.31437e-06,7.31669e-06,6.05752e-06
137,2.05213e-06,7.08162e-06,5.75373e-06
138,2.06366e-06,6.75535e-06,5.52154e-06
139,2.24879e-06,6.36516e-06,5.33928e-06
140,2.46273e-06,5.95346e-06,5.18032e-06
141,2.6107e-06,5.56468e-06,5.02148e-06
142,2.65162e-06,5.2321e-06,4.84826e-06
143,2.57992e-06,4.9681e-06,4.6562e-06
144,2.41257e-06,4.76224e-06,4.44919e-06
145,2.18104e-06,4.5885e-06,4.23614e-06
146,1.92554e-06,4.4175e-06,4.02712e-06
147,1.68896e-06,4.22717e-06,3.82988e-06
148,1.50755e-06,4.00828e-06,3.64769e-06
149,1.39737e-06,3.76499e-06,3.47906e-06
150,1.3457e-06,3.51193e-06,3.31911e-06
151,1.32008e-06,3.26928e-06,3.162e-06
152,1.28777e-06,3.05643e-06,3.00327e-06
153,1.22815e-06,2.8858e-06,2.8414e-06
154,1.13501e-06,2.75866e-06,2.67823e-06
155,1.01437e-06,2.66538e-06,2.51834e-06
156,8.81815e-07,2.59005e-06,2.36765e-06
157,7.60159e-07,2.51666e-06,2.23163e-06
158,6.74869e-07,2.43382e-06,2.11365e-06
159,6.42462e-07,2.33669e-06,2.01401e-06
160,6.56991e-07,2.22662e-06,1.92997e-06
161,6.94384e-07,2.10938e-06,1.85677e-06
162,7.3019e-07,1.99267e-06,1.7892e-06
163,7.4899e-07,1.88353e-06,1.72296e-06
164,7.4444e-07,1.78629e-06,1.65549e-06
165,7.16855e-07,1.7015e-06,1.58607e-06
166,6.71023e-07,1.62636e-06,1.51548e-06
167,6.14462e-07,1.55624e-06,1.44529e-06
168,5.55807e-07,1.48663e-06,1.37712e-06
169,5.03023e-07,1.41462e-06,1.31209e-06
