Iter,dP,du,dv
1,0.320447,0.180264,0.137059
2,0.279304,0.089304,0.0762927
3,0.202937,0.113822,0.103895
4,0.143016,0.131273,0.122851
5,0.106261,0.132002,0.127129
6,0.0856687,0.124514,0.120225
7,0.0828882,0.107891,0.103214
8,0.095509,0.0808879,0.0757053
9,0.104331,0.0493496,0.0446691
10,0.0981468,0.0319326,0.0259398
11,0.0801383,0.0371178,0.0288534
12,0.0570235,0.0446418,0.0357436
13,0.0340011,0.0470084,0.0381152
14,0.0166515,0.0441227,0.0355987
15,0.0165609,0.0371196,0.0293677
16,0.0252128,0.0275604,0.0210378
17,0.0303132,0.0175615,0.0126004
18,0.0303579,0.0102537,0.00721537
19,0.0263122,0.00941581,0.00838295
20,0.019818,0.0119219,0.0114431
21,0.0125716,0.0133566,0.0131573
22,0.00644263,0.012929,0.0131836
23,0.00509543,0.0109602,0.0118407
24,0.0077905,0.00805912,0.00964567
25,0.00984353,0.00496798,0.00717217
26,0.010395,0.00288239,0.00498168
27,0.00960485,0.00339937,0.0035689
28,0.00789593,0.00485216,0.00308084
29,0.00578252,0.00583157,0.00301861
30,0.00383051,0.00612227,0.00286251
31,0.00271554,0.0058061,0.00248373
32,0.00276728,0.00506166,0.00201306
33,0.00322182,0.00409494,0.00172061
34,0.00346343,0.00309838,0.00179927
35,0.00338073,0.00222464,0.00209583
36,0.00306375,0.00157205,0.00235829
37,0.00266495,0.00117823,0.00245904
38,0.00232406,0.00102089,0.00237051
39,0.00210181,0.0010406,0.00212138
40,0.00195593,0.00117336,0.00177068
41,0.00180066,0.00135671,0.00139154
42,0.00158087,0.00153106,0.00106023
43,0.00129655,0.00164916,0.000841159
44,0.000998796,0.00168309,0.000749386
45,0.000785977,0.00162568,0.000728451
46,0.000756542,0.00148857,0.000709834
47,0.000869188,0.00129852,0.000663554
48,0.000997633,0.00109349,0.00059466
49,0.00106759,0.000917406,0.000528447
50,0.00105541,0.000807922,0.000495352
51,0.000964451,0.000772811,0.000508574
52,0.000813115,0.000781498,0.000552509
53,0.000629302,0.000792737,0.000600804
54,0.000450255,0.000779907,0.000634475
55,0.000330136,0.000734235,0.000644746
56,0.000321611,0.000659886,0.000630188
57,0.000387871,0.000569587,0.000593796
58,0.000457158,0.000481863,0.000540874
59,0.000497579,0.00041783,0.000477631
60,0.00050138,0.000392449,0.000410383
61,0.000470849,0.000402175,0.000345236
62,0.000412981,0.00042793,0.000288093
63,0.000337182,0.000450943,0.000244473
64,0.000254447,0.00046014,0.000218231
65,0.000178498,0.000451308,0.000209019
66,0.000130301,0.000424848,0.000211547
67,0.000130369,0.000384179,0.000218738
68,0.000161168,0.000334791,0.000225093
69,0.000193482,0.000283734,0.000227612
70,0.000214856,0.000239223,0.000225356
71,0.000221842,0.000209311,0.000218794
72,0.000214671,0.00019803,0.000209241
73,0.000195474,0.000201605,0.000198376
74,0.000167621,0.00021129,0.000187781
75,0.000135504,0.000219381,0.000178543
76,0.000104786,0.000221534,0.000171004
77,8.29354e-05,0.000216306,0.000164796
78,7.68582e-05,0.00020426,0.000159123
79,8.44034e-05,0.000187289,0.000153137
80,9.60896e-05,0.000168122,0.000146241
81,0.00010502,0.000149862,0.000138223
82,0.000108227,0.000135339,0.000129257
