Iter,dP,du,dv
1,0.418633,0.222586,0.221826
2,0.331159,0.178813,0.179614
3,0.217154,0.19993,0.169521
4,0.191255,0.194963,0.161039
5,0.178033,0.173957,0.132339
6,0.171964,0.12327,0.106174
7,0.144477,0.0795276,0.097863
8,0.104426,0.0792819,0.0879001
9,0.0789661,0.0823935,0.0715817
10,0.0702369,0.0744167,0.0571126
11,0.0704651,0.058505,0.0461059
12,0.0689401,0.0418433,0.0416863
13,0.0581379,0.0338607,0.043721
14,0.0415279,0.0354058,0.0449489
15,0.0317122,0.0364269,0.0419743
16,0.0340846,0.0326991,0.0359741
17,0.0368541,0.0268903,0.0295647
18,0.0336343,0.0241759,0.0247192
19,0.0257861,0.0244475,0.0221069
20,0.0188881,0.0232186,0.0207327
21,0.018404,0.0187371,0.0190315
22,0.0205266,0.0127728,0.0166807
23,0.0197659,0.00981445,0.0145102
24,0.0156193,0.0115602,0.0131106
25,0.0112156,0.0131236,0.0120796
26,0.0111272,0.0121602,0.0108672
27,0.0136294,0.00913773,0.00961419
28,0.0143772,0.00627886,0.00890791
29,0.0122033,0.00653419,0.00887757
30,0.00790371,0.00836648,0.00894446
31,0.00358953,0.00923071,0.00857115
32,0.00419252,0.00872594,0.00768427
33,0.00691525,0.00746714,0.0065712
34,0.00827297,0.00641193,0.00564011
35,0.0081336,0.00613395,0.00517417
36,0.00699614,0.00629584,0.00516541
37,0.00554028,0.00629768,0.00538839
38,0.00445755,0.00590285,0.00559436
39,0.00418969,0.00520571,0.00560461
40,0.00450893,0.00446653,0.00533827
41,0.00486424,0.00395739,0.00483364
42,0.00492381,0.00377204,0.00425484
43,0.00459874,0.00375299,0.00384429
44,0.00395903,0.00367871,0.00376169
45,0.00318689,0.00344223,0.0039201
46,0.00253788,0.00308366,0.0040901
47,0.00223602,0.00275451,0.00410356
48,0.00227008,0.00261843,0.0039136
49,0.00243669,0.00269164,0.00356813
50,0.00259919,0.00282773,0.00316824
51,0.00272098,0.00288002,0.00282554
52,0.00278586,0.0027961,0.00261429
53,0.00276537,0.00261121,0.00253313
54,0.00264144,0.00240469,0.00251719
55,0.00243876,0.00224398,0.00249255
56,0.00222983,0.00214181,0.00241689
57,0.00209438,0.00206418,0.00229003
58,0.00204773,0.0019767,0.00214838
59,0.00201923,0.00187601,0.00204775
60,0.00191467,0.00178565,0.00203044
61,0.00167821,0.00173046,0.00209251
62,0.00131026,0.00171317,0.00218654
63,0.000868717,0.00171416,0.00225558
64,0.00052217,0.00171063,0.00226053
65,0.000619005,0.00169258,0.00218862
66,0.00097035,0.00166454,0.00205145
67,0.00128867,0.00163714,0.0018784
68,0.00150696,0.00161689,0.00170724
69,0.0016216,0.00160165,0.00157134
70,0.00165393,0.00158374,0.0014864
71,0.00163424,0.00155647,0.00144587
72,0.00158857,0.0015181,0.00143104
73,0.00152955,0.00147139,0.00142636
74,0.00145507,0.00142032,0.0014268
75,0.00135463,0.00136714,0.00143533
76,0.00121794,0.00131179,0.0014552
77,0.00104091,0.00125378,0.00148349
78,0.000828239,0.00119444,0.00150993
79,0.000595681,0.00113751,0.00152071
80,0.000381749,0.00108762,0.00150376
81,0.00029654,0.00104767,0.00145244
82,0.000418921,0.00101717,0.00136707
83,0.000608311,0.000992802,0.00125461
84,0.000783337,0.000970599,0.00112726
85,0.000920012,0.000947938,0.00100047
86,0.00101126,0.000924153,0.000890497
87,0.00105768,0.00089992,0.000811239
88,0.00106405,0.00087626,0.000770506
89,0.00103655,0.000853927,0.000767609
90,0.000980639,0.000833423,0.000794869
91,0.000899812,0.000815288,0.000841819
92,0.000795871,0.000800223,0.000898269
93,0.000670356,0.000788843,0.000955126
94,0.000526724,0.000781283,0.00100434
95,0.000373701,0.000777015,0.00103906
96,0.000236205,0.000775029,0.0010542
97,0.000194194,0.000774231,0.00104694
98,0.000292128,0.000773755,0.00101719
99,0.000431535,0.000773016,0.000967672
100,0.000564562,0.000771556,0.000903648
101,0.000676362,0.000768854,0.000832501
102,0.000760807,0.000764261,0.000763002
103,0.000815511,0.000757077,0.000704218
104,0.000840294,0.000746694,0.000663806
105,0.000836348,0.000732723,0.000645849
106,0.00080568,0.000715035,0.000649392
107,0.000750786,0.000693751,0.000669079
108,0.000674525,0.000669217,0.000697461
109,0.000580173,0.000641995,0.000727162
110,0.000471609,0.000612873,0.000751972
111,0.000353743,0.000582846,0.000767142
112,0.000233986,0.000553044,0.000769368
113,0.000131175,0.000524589,0.000756762
114,0.000116531,0.000498418,0.000728841
115,0.000200035,0.000475129,0.000686524
116,0.000297542,0.00045491,0.000632117
117,0.000385407,0.000437587,0.000569321
118,0.000456855,0.000422758,0.000503289
119,0.000508802,0.000409964,0.000440767
120,0.000539841,0.00039883,0.000390014
121,0.00054972,0.000389144,0.000359488
122,0.000539092,0.00038087,0.000354094
123,0.000509337,0.000374102,0.00037143
124,0.000462432,0.000368993,0.000403229
125,0.00040089,0.000365667,0.000440286
126,0.000327788,0.000364143,0.000475385
127,0.000247052,0.000364294,0.000503664
128,0.000164805,0.000365836,0.000522137
129,9.73277e-05,0.000368356,0.000529246
130,9.57216e-05,0.000371361,0.00052458
131,0.000157764,0.000374328,0.00050873
132,0.000230401,0.000376747,0.000483216
133,0.00029764,0.000378149,0.00045045
134,0.000354276,0.00037813,0.000413718
135,0.000397673,0.000376363,0.000377133
136,0.000426366,0.000372611,0.00034542
137,0.000439718,0.000366732,0.000323207
138,0.000437787,0.000358686,0.000313626
139,0.000421232,0.000348543,0.000316811
140,0.000391236,0.000336479,0.000329745
141,0.00034943,0.000322773,0.000347747
142,0.000297832,0.000307799,0.000366181
143,0.000238823,0.000292004,0.000381342
144,0.000175235,0.000275887,0.00039063
145,0.000111062,0.000259962,0.000392446
146,5.71339e-05,0.000244715,0.00038604
147,5.89886e-05,0.00023056,0.000371387
148,0.000108186,0.000217798,0.000349113
149,0.000160221,0.000206593,0.000320457
150,0.00020619,0.000196968,0.000287287
151,0.000243359,0.000188837,0.000252195
152,0.000270329,0.000182046,0.00021867
153,0.000286376,0.000176435,0.000191231
154,0.000291294,0.000171878,0.000174841
155,0.000285334,0.000168315,0.000172611
156,0.000269156,0.000165743,0.00018317
157,0.000243791,0.000164198,0.000201537
158,0.000210601,0.000163709,0.000222372
159,0.000171272,0.000164261,0.000241695
160,0.000127907,0.000165763,0.000256955
161,8.36332e-05,0.000168038,0.000266666
162,4.6807e-05,0.000170831,0.000270124
163,4.69015e-05,0.000173837,0.000267221
164,8.11158e-05,0.000176729,0.000258352
165,0.000119606,0.000179187,0.000244367
166,0.000154762,0.000180927,0.000226557
167,0.000184167,0.000181709,0.000206664
168,0.000206565,0.000181354,0.000186895
169,0.000221238,0.000179746,0.000169857
170,0.000227864,0.000176836,0.000158197
171,0.000226462,0.000172639,0.000153747
172,0.000217368,0.000167235,0.000156542
173,0.000201195,0.000160761,0.000164732
174,0.000178802,0.000153406,0.000175567
175,0.000151266,0.000145402,0.000186439
176,0.000119855,0.000137014,0.000195346
177,8.60781e-05,0.000128522,0.000200934
178,5.20894e-05,0.000120207,0.000202404
179,2.47774e-05,0.000112328,0.000199414
180,3.26767e-05,0.000105101,0.000192004
181,6.07156e-05,9.86763e-05,0.000180555
182,8.84142e-05,9.31276e-05,0.000165763
183,0.000112491,8.84492e-05,0.000148653
184,0.000131771,8.45703e-05,0.000130629
185,0.000145605,8.1383e-05,0.000113568
186,0.000153651,7.87744e-05,9.98688e-05
187,0.000155822,7.66565e-05,9.2072e-05
188,0.000152261,7.4983e-05,9.16117e-05
189,0.000143325,7.3752e-05,9.75732e-05
190,0.000129558,7.29938e-05,0.000107321
191,0.000111678,7.27476e-05,0.000118137
192,9.05609e-05,7.30348e-05,0.000128013
193,6.7263e-05,7.3836e-05,0.000135662
194,4.32552e-05,7.50789e-05,0.00014034
195,2.23109e-05,7.66403e-05,0.000141702
196,2.15396e-05,7.83592e-05,0.000139711
197,4.04684e-05,8.00557e-05,0.000134591
198,6.10581e-05,8.15498e-05,0.000126803
199,7.9608e-05,8.26782e-05,0.000117039
200,9.49978e-05,8.33049e-05,0.000106232
201,0.00010663,8.33286e-05,9.55732e-05
202,0.00011416,8.26864e-05,8.64824e-05
203,0.00011744,8.13548e-05,8.04134e-05
204,0.000116495,7.93489e-05,7.8355e-05
205,0.00011151,7.67202e-05,8.02625e-05
206,0.000102817,7.3553e-05,8.50435e-05
