Iter,dP,du,dv
1,0.726612,0.185399,0.136011
2,0.270322,0.219898,0.144198
3,0.112231,0.165792,0.111628
4,0.18875,0.0881689,0.0616692
5,0.173076,0.0361194,0.0336883
6,0.105825,0.0358978,0.0313246
7,0.0420852,0.0353607,0.0278723
8,0.0222696,0.0245311,0.0193495
9,0.0285879,0.0131224,0.0114139
10,0.0234941,0.00875809,0.00828838
11,0.0128918,0.00892678,0.00805417
12,0.00568007,0.00809201,0.00752479
13,0.00608908,0.00653465,0.00656359
14,0.00619025,0.00548567,0.00569825
15,0.0044527,0.00501414,0.00505576
16,0.00252523,0.00459208,0.00452047
17,0.00194053,0.00407302,0.0040311
18,0.00212655,0.00359689,0.00359888
19,0.00196638,0.00325843,0.00323263
20,0.00145961,0.00301815,0.00292006
21,0.000908268,0.00280005,0.00264565
22,0.000627278,0.00257225,0.00240066
23,0.00065113,0.00234488,0.00218055
24,0.000678279,0.00213806,0.0019819
25,0.000601188,0.00196028,0.00180223
26,0.000462095,0.00180632,0.0016403
27,0.000347603,0.00166674,0.00149554
28,0.000321728,0.0015362,0.00136718
29,0.000344517,0.00141461,0.0012539
30,0.000350599,0.00130358,0.00115403
31,0.000324007,0.00120328,0.00106581
32,0.000278951,0.00111211,0.000987562
33,0.000237145,0.00102814,0.0009178
34,0.000211702,0.000950347,0.000855216
35,0.000199628,0.000878579,0.000798721
36,0.000190957,0.000812863,0.000747455
37,0.000180686,0.000752879,0.00070075
38,0.00016978,0.000697972,0.000658066
39,0.000160621,0.000647457,0.000618937
40,0.000153678,0.000600847,0.000582933
41,0.000147568,0.000557856,0.000549659
42,0.000140925,0.000518276,0.000518762
43,0.000133499,0.000481877,0.000489942
44,0.000125905,0.000448404,0.00046295
45,0.000118821,0.00041761,0.000437588
46,0.000112496,0.000389287,0.000413697
47,0.000106773,0.000363256,0.000391156
48,0.0001014,0.00033935,0.000369867
49,9.62368e-05,0.000317401,0.000349752
50,9.127e-05,0.000297242,0.000330744
51,8.65197e-05,0.000278719,0.000312783
52,8.19803e-05,0.000261693,0.000295817
53,7.76238e-05,0.00024604,0.000279793
54,7.34321e-05,0.00023165,0.000264664
55,6.94119e-05,0.000218417,0.000250386
56,6.5584e-05,0.000206244,0.000236917
57,6.19651e-05,0.000195039,0.00022422
58,5.85575e-05,0.000184717,0.000212257
59,5.53521e-05,0.000175198,0.000200992
60,5.23357e-05,0.000166408,0.000190391
61,4.94967e-05,0.000158277,0.000180422
62,4.68258e-05,0.000150742,0.000171049
63,4.43149e-05,0.000143743,0.000162241
64,4.19556e-05,0.000137228,0.000153965
65,3.97397e-05,0.000131148,0.00014619
66,3.76597e-05,0.000125463,0.000138884
67,3.57088e-05,0.000120132,0.000132019
68,3.38808e-05,0.000115122,0.000125566
69,3.21691e-05,0.000110402,0.000119498
70,3.05669e-05,0.000105944,0.000113789
71,2.90674e-05,0.000101725,0.000108416
72,2.76635e-05,9.77215e-05,0.000103355
73,2.63484e-05,9.39152e-05,9.85844e-05
74,2.51155e-05,9.02891e-05,9.40841e-05
75,2.39585e-05,8.68281e-05,8.98351e-05
76,2.28715e-05,8.35192e-05,8.58195e-05
77,2.18489e-05,8.0351e-05,8.20207e-05
78,2.08857e-05,7.73135e-05,7.84236e-05
79,1.99773e-05,7.43979e-05,7.5014e-05
80,1.91194e-05,7.15965e-05,7.1779e-05
81,1.83083e-05,6.89024e-05,6.87066e-05
82,1.75405e-05,6.63097e-05,6.57859e-05
83,1.68126e-05,6.3813e-05,6.30069e-05
84,1.61218e-05,6.14075e-05,6.03603e-05
85,1.54654e-05,5.90889e-05,5.78379e-05
86,1.48407e-05,5.68534e-05,5.54319e-05
87,1.42455e-05,5.46975e-05,5.31351e-05
88,1.36778e-05,5.2618e-05,5.09412e-05
89,1.31356e-05,5.06119e-05,4.88442e-05
90,1.26172e-05,4.86767e-05,4.68386e-05
91,1.21212e-05,4.68099e-05,4.49195e-05
92,1.16462e-05,4.5009e-05,4.30823e-05
93,1.1191e-05,4.32719e-05,4.13227e-05
94,1.07544e-05,4.15964e-05,3.96368e-05
95,1.03355e-05,3.99808e-05,3.8021e-05
96,9.93343e-06,3.84229e-05,3.6472e-05
97,9.54723e-06,3.6921e-05,3.49866e-05
98,9.17618e-06,3.54734e-05,3.35618e-05
99,8.81953e-06,3.40783e-05,3.2195e-05
100,8.47665e-06,3.2734e-05,3.08836e-05
101,8.1469e-06,3.14391e-05,2.96251e-05
102,7.82973e-06,3.01919e-05,2.84174e-05
103,7.52461e-06,2.89909e-05,2.72583e-05
104,7.23104e-06,2.78346e-05,2.61458e-05
105,6.94858e-06,2.67216e-05,2.50779e-05
106,6.67679e-06,2.56505e-05,2.40528e-05
107,6.41525e-06,2.46199e-05,2.30689e-05
108,6.16358e-06,2.36284e-05,2.21244e-05
109,5.92142e-06,2.26748e-05,2.12178e-05
110,5.6884e-06,2.17578e-05,2.03476e-05
111,5.46419e-06,2.08761e-05,1.95124e-05
112,5.24846e-06,2.00286e-05,1.87107e-05
113,5.04092e-06,1.92139e-05,1.79413e-05
114,4.84125e-06,1.84311e-05,1.72029e-05
115,4.64918e-06,1.76789e-05,1.64943e-05
116,4.46444e-06,1.69563e-05,1.58143e-05
117,4.28675e-06,1.62621e-05,1.51618e-05
118,4.11587e-06,1.55955e-05,1.45357e-05
119,3.95155e-06,1.49553e-05,1.3935e-05
120,3.79354e-06,1.43407e-05,1.33586e-05
121,3.64164e-06,1.37505e-05,1.28058e-05
122,3.4956e-06,1.31841e-05,1.22754e-05
123,3.35523e-06,1.26404e-05,1.17666e-05
124,3.22031e-06,1.21186e-05,1.12787e-05
125,3.09064e-06,1.16178e-05,1.08106e-05
126,2.96603e-06,1.11374e-05,1.03618e-05
127,2.84629e-06,1.06764e-05,9.9313e-06
128,2.73125e-06,1.02341e-05,9.51851e-06
129,2.62072e-06,9.8099e-06,9.12268e-06
130,2.51455e-06,9.40298e-06,8.74313e-06
131,2.41257e-06,9.0127e-06,8.37922e-06
132,2.31461e-06,8.6384e-06,8.03031e-06
133,2.22054e-06,8.27945e-06,7.69581e-06
134,2.1302e-06,7.93525e-06,7.37513e-06
135,2.04345e-06,7.60521e-06,7.06771e-06
136,1.96016e-06,7.28876e-06,6.77302e-06
137,1.88019e-06,6.98536e-06,6.49054e-06
138,1.80342e-06,6.6945e-06,6.21978e-06
139,1.72973e-06,6.41565e-06,5.96025e-06
140,1.65898e-06,6.14834e-06,5.7115e-06
141,1.59108e-06,5.89211e-06,5.47309e-06
142,1.52591e-06,5.6465e-06,5.2446e-06
143,1.46337e-06,5.41108e-06,5.02562e-06
144,1.40335e-06,5.18544e-06,4.81576e-06
145,1.34575e-06,4.96917e-06,4.61464e-06
146,1.29049e-06,4.7619e-06,4.4219e-06
147,1.23746e-06,4.56325e-06,4.23721e-06
148,1.18658e-06,4.37287e-06,4.06022e-06
149,1.13777e-06,4.19042e-06,3.89061e-06
150,1.09094e-06,4.01558e-06,3.72809e-06
151,1.04602e-06,3.84802e-06,3.57236e-06
152,1.00293e-06,3.68746e-06,3.42313e-06
153,9.61591e-07,3.53359e-06,3.28015e-06
154,9.21941e-07,3.38615e-06,3.14313e-06
155,8.83911e-07,3.24486e-06,3.01185e-06
156,8.47436e-07,3.10947e-06,2.88606e-06
157,8.12453e-07,2.97973e-06,2.76553e-06
158,7.78903e-07,2.85542e-06,2.65004e-06
159,7.46728e-07,2.7363e-06,2.53938e-06
160,7.15872e-07,2.62216e-06,2.43336e-06
161,6.86282e-07,2.51278e-06,2.33177e-06
162,6.57908e-07,2.40798e-06,2.23443e-06
163,6.307e-07,2.30756e-06,2.14116e-06
164,6.0461e-07,2.21134e-06,2.0518e-06
165,5.79594e-07,2.11913e-06,1.96617e-06
166,5.55608e-07,2.03079e-06,1.88413e-06
167,5.32609e-07,1.94613e-06,1.80552e-06
168,5.10559e-07,1.86501e-06,1.73021e-06
169,4.89417e-07,1.78729e-06,1.65804e-06
170,4.69148e-07,1.71281e-06,1.58889e-06
171,4.49714e-07,1.64144e-06,1.52263e-06
172,4.31083e-07,1.57306e-06,1.45915e-06
173,4.13222e-07,1.50753e-06,1.39832e-06
174,3.96098e-07,1.44474e-06,1.34004e-06
175,3.79682e-07,1.38458e-06,1.28419e-06
176,3.63945e-07,1.32692e-06,1.23067e-06
177,3.48858e-07,1.27168e-06,1.1794e-06
178,3.34396e-07,1.21874e-06,1.13026e-06
179,3.20531e-07,1.16801e-06,1.08318e-06
180,3.07241e-07,1.1194e-06,1.03807e-06
181,2.94501e-07,1.07281e-06,9.94843e-07
182,2.82288e-07,1.02818e-06,9.5342e-07
183,2.70581e-07,9.854e-07,9.13727e-07
