Iter,dP,du,dv
1,0.55408,0.211217,0.196076
2,0.385693,0.256581,0.18803
3,0.200909,0.267847,0.208386
4,0.197078,0.236437,0.173863
5,0.238308,0.169261,0.116817
6,0.234072,0.0833406,0.0689769
7,0.140017,0.105964,0.0913883
8,0.0570022,0.106045,0.0940949
9,0.0796479,0.0740873,0.06988
10,0.107373,0.0331168,0.0298645
11,0.0865995,0.0406475,0.0259526
12,0.0438552,0.0517942,0.0387215
13,0.0261435,0.0451034,0.0357976
14,0.0435159,0.0279995,0.0226029
15,0.0473992,0.0142726,0.0117235
16,0.0333157,0.0203918,0.0159479
17,0.0129426,0.0235202,0.0193609
18,0.0139865,0.0175804,0.0162767
19,0.0226975,0.00732991,0.00962128
20,0.0213856,0.00663993,0.00608268
21,0.0127675,0.0119341,0.00757295
22,0.00501982,0.0124165,0.00728343
23,0.00861232,0.00913112,0.00467066
24,0.0109329,0.00502676,0.00293893
25,0.00922724,0.00367476,0.00437472
26,0.00595619,0.00430957,0.00515583
27,0.00470249,0.00413852,0.00431846
28,0.00527714,0.00361565,0.00253787
29,0.004925,0.00364212,0.00122488
30,0.00363346,0.00374906,0.00163254
31,0.00297723,0.00325609,0.00188889
32,0.00345185,0.00227192,0.00151016
33,0.00359822,0.00162378,0.000997845
34,0.00287813,0.00190032,0.00105871
35,0.00169467,0.00218177,0.00134363
36,0.00123021,0.00194499,0.00138256
37,0.00183207,0.00126077,0.00118644
38,0.00217267,0.000534929,0.000916777
39,0.00196655,0.000789388,0.000682092
40,0.00138642,0.00129175,0.000459999
41,0.000805469,0.00147436,0.000232276
42,0.000776748,0.00131663,0.000265953
43,0.00108188,0.000912128,0.000491004
44,0.00123873,0.000423021,0.000628476
45,0.00116442,0.000323072,0.000624213
46,0.000909556,0.000646954,0.000499533
47,0.000599119,0.000834162,0.000329299
48,0.000465489,0.000816592,0.000244854
49,0.000594554,0.000626129,0.000298304
50,0.00072072,0.000353556,0.000349145
51,0.00071677,0.000222377,0.000332273
52,0.000582992,0.000378061,0.000254866
53,0.000386938,0.000501318,0.000163237
54,0.000273751,0.000505201,0.000146417
55,0.000346397,0.000401235,0.000202033
56,0.000438715,0.000243842,0.000239932
57,0.00045441,0.000157721,0.000231774
58,0.00038867,0.000237383,0.000183455
59,0.000277619,0.000314634,0.000121873
60,0.000193923,0.000323039,9.85415e-05
61,0.000209781,0.000262482,0.000127443
62,0.000261492,0.000157907,0.000152877
63,0.000277748,6.7135e-05,0.000150303
64,0.000244895,0.000114444,0.000120131
65,0.000178637,0.000178951,7.53256e-05
66,0.000118777,0.00019988,4.59473e-05
67,0.000120567,0.000175716,6.37706e-05
68,0.000156966,0.000121418,8.7106e-05
69,0.000174944,6.93779e-05,9.36468e-05
70,0.000161601,7.57245e-05,8.27123e-05
71,0.000124519,0.000109525,6.20752e-05
72,8.51573e-05,0.000123621,4.66086e-05
73,7.59604e-05,0.000110436,4.91898e-05
74,9.39924e-05,7.61839e-05,5.84992e-05
75,0.000106055,3.67914e-05,6.06525e-05
76,9.99305e-05,3.58694e-05,5.22213e-05
77,7.82406e-05,6.24854e-05,3.59844e-05
78,5.28156e-05,7.64142e-05,2.02385e-05
79,4.45052e-05,7.25635e-05,2.15942e-05
80,5.62073e-05,5.46115e-05,3.22958e-05
81,6.60688e-05,3.20956e-05,3.78983e-05
82,6.48726e-05,2.55037e-05,3.60089e-05
83,5.34143e-05,3.82629e-05,2.85184e-05
84,3.80277e-05,4.71469e-05,2.02413e-05
85,2.98641e-05,4.56799e-05,1.8107e-05
86,3.41574e-05,3.49008e-05,2.17956e-05
87,3.99263e-05,1.94911e-05,2.43283e-05
88,3.98378e-05,1.1713e-05,2.27348e-05
89,3.33465e-05,2.08484e-05,1.73296e-05
90,2.37421e-05,2.83283e-05,1.0485e-05
91,1.77715e-05,2.9198e-05,7.79742e-06
92,2.02541e-05,2.39714e-05,1.14566e-05
93,2.46313e-05,1.55045e-05,1.46134e-05
94,2.55933e-05,9.96013e-06,1.49301e-05
95,2.24241e-05,1.32457e-05,1.26304e-05
96,1.68477e-05,1.75615e-05,9.19286e-06
97,1.24575e-05,1.83431e-05,7.22409e-06
98,1.26541e-05,1.52666e-05,8.15491e-06
99,1.49365e-05,9.66856e-06,9.55242e-06
100,1.56606e-05,4.79085e-06,9.55913e-06
101,1.39061e-05,6.76279e-06,7.91288e-06
102,1.04762e-05,1.02695e-05,5.25097e-06
103,7.47845e-06,1.15129e-05,3.19291e-06
104,7.44069e-06,1.02363e-05,3.92364e-06
105,9.12142e-06,7.25104e-06,5.43758e-06
106,9.96278e-06,4.37791e-06,6.01894e-06
107,9.22735e-06,4.57679e-06,5.4757e-06
108,7.30777e-06,6.39856e-06,4.21301e-06
109,5.34192e-06,7.20806e-06,3.09277e-06
110,4.82394e-06,6.49273e-06,3.05825e-06
111,5.57951e-06,4.58164e-06,3.64496e-06
112,6.08978e-06,2.38821e-06,3.88521e-06
113,5.69814e-06,2.19164e-06,3.47094e-06
114,4.53049e-06,3.62637e-06,2.53155e-06
115,3.23109e-06,4.43848e-06,1.52308e-06
116,2.81937e-06,4.25818e-06,1.36776e-06
117,3.36567e-06,3.27932e-06,1.96302e-06
118,3.83435e-06,2.05113e-06,2.35617e-06
119,3.73788e-06,1.65328e-06,2.30471e-06
120,3.11421e-06,2.29363e-06,1.89016e-06
121,2.31361e-06,2.77875e-06,1.38148e-06
122,1.90267e-06,2.69579e-06,1.18387e-06
123,2.08944e-06,2.08556e-06,1.36757e-06
124,2.34792e-06,1.21724e-06,1.53718e-06
125,2.30451e-06,7.6914e-07,1.47317e-06
126,1.92877e-06,1.24488e-06,1.17075e-06
127,1.40855e-06,1.67239e-06,7.56878e-07
128,1.1096e-06,1.73173e-06,5.24978e-07
129,1.24127e-06,1.44221e-06,6.91234e-07
130,1.46073e-06,9.68642e-07,8.94465e-07
131,1.49531e-06,6.55702e-07,9.41479e-07
132,1.30867e-06,8.13767e-07,8.25914e-07
133,1.00201e-06,1.05025e-06,6.25914e-07
134,7.75189e-07,1.09459e-06,4.85783e-07
135,7.87373e-07,9.18773e-07,5.12404e-07
